Id;Vehiculo;Fecha;Tag;Tipo Residuo;Tipo Contenedor;Frecuencia RSU;Municipio;Poligono;Ruta;Peso;refSortingType
43132;7501JXG;28/06/2018 11:26:59;F0C8DC;Papel-Cartón;Cl pc 3200;6;ZAMUDIO;AREA URBANA;4;64,00;SortingType:7
43131;7501JXG;28/06/2018 11:26:00;F0986F;Papel-Cartón;Cl pc 3200;6;ZAMUDIO;AREA URBANA;4;58,00;SortingType:7
43130;7501JXG;28/06/2018 11:23:59;F0BD14;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;4;86,00;SortingType:7
43129;7501JXG;28/06/2018 11:21:59;F0C215;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;4;66,00;SortingType:7
43128;7501JXG;28/06/2018 11:19:59;F0BDAF;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;4;42,00;SortingType:7
43127;7501JXG;28/06/2018 11:17:59;F093FE;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;4;58,00;SortingType:7
43126;7501JXG;28/06/2018 11:14:00;F08144;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;4;62,00;SortingType:7
43125;7501JXG;28/06/2018 11:12:59;F0B5A8;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;4;60,00;SortingType:7
43124;7501JXG;28/06/2018 11:10:00;F0CEEB;Papel-Cartón;Cl pc 3200;6;ZAMUDIO;AREA URBANA;4;42,00;SortingType:7
43123;7501JXG;28/06/2018 11:06:00;F088B9;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;4;84,00;SortingType:7
43122;7501JXG;28/06/2018 10:59:59;F0963B;Papel-Cartón;Cl pc 3200;3;ZAMUDIO;PARQUE TECNOLOGICO;4;30,00;SortingType:7
43121;7501JXG;28/06/2018 10:57:00;F0BD2A;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;4;42,00;SortingType:7
43120;7501JXG;28/06/2018 10:52:59;F07BD1;Papel-Cartón;Cl pc 3200;0;ZAMUDIO;AREA URBANA;4;16,00;SortingType:7
43119;7501JXG;28/06/2018 10:50:00;F0B163;Papel-Cartón;Cl pc 3200;3;ZAMUDIO;UGALDEGUREN III;4;34,00;SortingType:7
41596;2618JYP;28/06/2018 10:23:59;B5417A;Papel-Cartón;Ct pc 360;2;ZAMUDIO;UGALDEGUREN I;23;23,00;SortingType:6
43094;7501JXG;28/06/2018 08:57:00;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;4;36,00;
43081;7501JXG;28/06/2018 08:23:59;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;4;82,00;
41535;2618JYP;28/06/2018 07:34:00;B54B18;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;23;10,00;SortingType:6
41534;2618JYP;28/06/2018 07:32:59;B590CB;Papel-Cartón;Ct pc 800;2;ZAMUDIO;UGALDEGUREN II;23;16,00;SortingType:6
41526;2618JYP;28/06/2018 07:25:00;B54220;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;23;14,00;SortingType:6
43059;7501JXG;28/06/2018 07:21:59;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;4;288,00;
43055;7501JXG;28/06/2018 07:02:00;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;4;30,00;
43054;7501JXG;28/06/2018 07:00:59;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;4;10,00;
41479;2618JYP;28/06/2018 06:29:00;B54333;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;23;10,00;SortingType:6
43030;7501JXG;28/06/2018 06:02:59;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;4;142,00;
43029;7501JXG;28/06/2018 05:51:59;F087B6;Papel-Cartón;Cl pc 3200;2;ZAMUDIO;SIN ASIGNAR;4;8,00;SortingType:7
43028;7501JXG;28/06/2018 05:48:59;F0B86C;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;SIN ASIGNAR;4;50,00;SortingType:7
43027;7501JXG;28/06/2018 05:46:00;F0C2B4;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;SIN ASIGNAR;4;112,00;SortingType:7
41423;2618JYP;27/06/2018 08:55:59;B57A2A;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;TORRELARRAGOITI;22;55,00;SortingType:6
41422;2618JYP;27/06/2018 08:53:59;B56E77;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;TORRELARRAGOITI;22;46,00;SortingType:6
41353;2618JYP;27/06/2018 06:56:59;B54206;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;TORRELARRAGOITI;22;22,00;SortingType:6
41342;2618JYP;27/06/2018 06:42:00;B58FD9;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;35,00;SortingType:6
41312;2618JYP;26/06/2018 11:32:59;B57941;Papel-Cartón;Ct pc 360;2;ZAMUDIO;UGALDEGUREN III;21;5,00;SortingType:6
41311;2618JYP;26/06/2018 11:32:00;B54D28;Papel-Cartón;Ct pc 360;2;ZAMUDIO;UGALDEGUREN III;21;1,00;SortingType:6
42857;7501JXG;26/06/2018 10:47:00;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;2;38,00;
42851;7501JXG;26/06/2018 10:29:00;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;2;24,00;
42848;7501JXG;26/06/2018 10:00:00;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;2;14,00;
42846;7501JXG;26/06/2018 09:53:00;F08144;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;2;138,00;SortingType:7
42845;7501JXG;26/06/2018 09:51:59;F0B5A8;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;2;42,00;SortingType:7
42844;7501JXG;26/06/2018 09:47:59;F094E9;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;2;54,00;SortingType:7
42843;7501JXG;26/06/2018 09:47:00;F0A402;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;2;60,00;SortingType:7
42842;7501JXG;26/06/2018 09:45:00;F0AA46;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;2;96,00;SortingType:7
42841;7501JXG;26/06/2018 09:42:00;F0C8DC;Papel-Cartón;Cl pc 3200;6;ZAMUDIO;AREA URBANA;2;52,00;SortingType:7
42840;7501JXG;26/06/2018 09:40:59;F0986F;Papel-Cartón;Cl pc 3200;6;ZAMUDIO;AREA URBANA;2;64,00;SortingType:7
42839;7501JXG;26/06/2018 09:38:59;F0C215;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;2;130,00;SortingType:7
42838;7501JXG;26/06/2018 09:38:00;F0BDAF;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;2;32,00;SortingType:7
42837;7501JXG;26/06/2018 09:36:59;F093FE;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;2;56,00;SortingType:7
42836;7501JXG;26/06/2018 09:33:59;F0A0EE;Papel-Cartón;Cl pc 3200;2;ZAMUDIO;AREA URBANA;2;48,00;SortingType:7
42835;7501JXG;26/06/2018 09:31:00;F0A544;Papel-Cartón;Cl pc 3200;3;ZAMUDIO;AREA URBANA;2;16,00;SortingType:7
42834;7501JXG;26/06/2018 09:29:00;F0963B;Papel-Cartón;Cl pc 3200;3;ZAMUDIO;PARQUE TECNOLOGICO;2;14,00;SortingType:7
42792;7501JXG;26/06/2018 07:36:00;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;2;84,00;
42785;7501JXG;26/06/2018 07:27:00;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;2;50,00;
42779;7501JXG;26/06/2018 07:16:59;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;2;76,00;
42778;7501JXG;26/06/2018 07:05:59;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;2;28,00;
42772;7501JXG;26/06/2018 06:56:59;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;2;44,00;
