;Vehiculo;Fecha;Tag;Frecuencia RSU;Ruta;Peso;refSortingType
301;2618JYP;14/12/2018 08:37:59;F09D7D;6;25;26;SortingType:6
302;2618JYP;14/12/2018 08:37:59;EFE012;6;25;38;SortingType:6
303;2618JYP;14/12/2018 08:37:00;F0841B;6;25;6;SortingType:6
304;2618JYP;14/12/2018 08:35:59;F09134;6;25;25;SortingType:6
305;2618JYP;14/12/2018 08:32:00;F08EAE;5;25;4;SortingType:6
306;2618JYP;14/12/2018 08:28:00;F0BA64;5;25;23;SortingType:6
307;2618JYP;14/12/2018 08:26:00;F09401;5;25;28;SortingType:6
308;2618JYP;14/12/2018 08:23:59;F0C5CA;5;25;35;SortingType:6
309;2618JYP;14/12/2018 08:23:00;F0B726;5;25;20;SortingType:6
310;2618JYP;14/12/2018 08:17:59;8EF3E4;5;25;19;SortingType:6
311;2618JYP;14/12/2018 08:15:00;F0897C;5;25;65;SortingType:6
312;2618JYP;14/12/2018 08:14:00;F09F84;5;25;13;SortingType:6
313;2618JYP;14/12/2018 08:12:59;F08E0A;5;25;53;SortingType:6
314;2618JYP;14/12/2018 08:10:59;F099AF;5;25;27;NaN
315;2618JYP;14/12/2018 07:52:00;F0978A;2;25;209;SortingType:6
316;2618JYP;14/12/2018 07:48:59;F07DE1;5;25;32;SortingType:6
317;2618JYP;14/12/2018 07:47:00;F0B38D;5;25;37;SortingType:6
318;2618JYP;14/12/2018 07:45:59;F08A9C;5;25;68;SortingType:6
319;2618JYP;14/12/2018 07:43:59;F0C9DD;5;25;13;SortingType:6
320;2618JYP;14/12/2018 07:41:59;F08DD9;5;25;24;SortingType:6
321;2618JYP;14/12/2018 07:38:00;F09BDD;2;25;12;SortingType:6
322;2618JYP;14/12/2018 07:36:59;F08B3F;2;25;14;NaN
323;2618JYP;14/12/2018 07:30:59;8EE449;2;25;70;SortingType:6
324;2618JYP;14/12/2018 07:29:00;8BB8EA;2;25;17;SortingType:6
325;2618JYP;14/12/2018 07:27:59;8BA51B;2;25;11;SortingType:6
326;2618JYP;13/12/2018 13:14:00;B54C91;2;23;514;SortingType:6
327;2618JYP;13/12/2018 12:17:00;B5417A;2;23;879;SortingType:6
328;1541CLM;13/12/2018 11:17:59;B57B2A;2;16;15;SortingType:6
329;1541CLM;13/12/2018 11:15:00;B591BE;2;16;98;SortingType:6
330;2618JYP;13/12/2018 09:02:00;B590CB;2;23;3;SortingType:6
331;2618JYP;13/12/2018 09:00:59;B54B18;2;23;20;SortingType:6
332;2618JYP;13/12/2018 09:00:59;B590CB;2;23;7;SortingType:6
333;2618JYP;13/12/2018 08:50:00;B54220;2;23;20;SortingType:6
334;2618JYP;13/12/2018 07:50:00;B54333;2;23;14;SortingType:6
335;7501JXG;30/11/2018 13:05:00;F0B86C;5;18;26;SortingType:7
336;7501JXG;30/11/2018 13:03:59;8B4753;5;18;2;SortingType:6
337;7501JXG;30/11/2018 13:02:59;F0C2B4;5;18;72;SortingType:7
338;7501JXG;30/11/2018 12:58:00;F0929A;3;18;26;SortingType:7
339;1541CLM;30/11/2018 10:07:59;B57F39;2;17;22;SortingType:6
340;1541CLM;30/11/2018 09:56:00;B57812;2;17;12;SortingType:6
341;2618JYP;30/11/2018 09:36:59;B57738;1;24;10;SortingType:6
342;2618JYP;30/11/2018 08:50:00;F0BC67;2;24;27;SortingType:6
343;2618JYP;30/11/2018 08:48:00;F0C6DD;5;24;17;SortingType:6
344;2618JYP;30/11/2018 08:46:00;F0A3D4;5;24;19;SortingType:6
345;2618JYP;30/11/2018 08:42:59;F0AC86;5;24;56;SortingType:6
346;2618JYP;30/11/2018 08:41:00;F0C2C0;5;24;304;SortingType:6
